Date,Open_NYAD,High_NYAD,Low_NYAD,Close_NYAD,Volume_NYAD,Open_NYMO,High_NYMO,Low_NYMO,Close_NYMO,Volume_NYMO
2018-08-20,1540.75,1540.75,1540.75,1540.75,0.0,95.0999985,95.0999985,95.0999985,95.0999985,0.0
2018-08-21,1546.55005,1546.55005,1546.55005,1546.55005,0.0,120.989998,120.989998,120.989998,120.989998,0.0
2018-08-22,1545.93005,1545.93005,1545.93005,1545.93005,0.0,104.330002,104.330002,104.330002,104.330002,0.0
2018-08-23,1538.56995,1538.56995,1538.56995,1538.56995,0.0,35.7999992,35.7999992,35.7999992,35.7999992,0.0
2018-08-24,1546.03003,1546.03003,1546.03003,1546.03003,0.0,83.0899963,83.0899963,83.0899963,83.0899963,0.0
2018-08-27,1551.41003,1551.41003,1551.41003,1551.41003,0.0,100.769997,100.769997,100.769997,100.769997,0.0
2018-08-28,1549.70996,1549.70996,1549.70996,1549.70996,0.0,71.9800034,71.9800034,71.9800034,71.9800034,0.0
2018-08-29,1554.19995,1554.19995,1554.19995,1554.19995,0.0,84.3300018,84.3300018,84.3300018,84.3300018,0.0
2018-08-30,1546.51001,1546.51001,1546.51001,1546.51001,0.0,12.5,12.5,12.5,12.5,0.0
2018-08-31,1548.21997,1548.21997,1548.21997,1548.21997,0.0,10.9899998,10.9899998,10.9899998,10.9899998,0.0
2018-09-04,,,,,,-4.80999994,-4.80999994,-4.80999994,-4.80999994,0.0
2018-09-05,1547.29004,1547.29004,1547.29004,1547.29004,0.0,-27.1900005,-27.1900005,-27.1900005,-27.1900005,0.0
2018-09-06,1544.43005,1544.43005,1544.43005,1544.43005,0.0,-59.4099998,-59.4099998,-59.4099998,-59.4099998,0.0
2018-09-07,1538.05005,1538.05005,1538.05005,1538.05005,0.0,-109.370003,-109.370003,-109.370003,-109.370003,0.0
2018-09-10,1542.30005,1542.30005,1542.30005,1542.30005,0.0,-65.0899963,-65.0899963,-65.0899963,-65.0899963,0.0
2018-09-11,1542.56006,1542.56006,1542.56006,1542.56006,0.0,-58.0800018,-58.0800018,-58.0800018,-58.0800018,0.0
2018-09-12,1545.03003,1545.03003,1545.03003,1545.03003,0.0,-37.4799995,-37.4799995,-37.4799995,-37.4799995,0.0
2018-09-13,1547.0,1547.0,1547.0,1547.0,0.0,-31.4899998,-31.4899998,-31.4899998,-31.4899998,0.0
2018-09-14,1548.10999,1548.10999,1548.10999,1548.10999,0.0,-28.4099998,-28.4099998,-28.4099998,-28.4099998,0.0
2018-09-17,1543.38,1543.38,1543.38,1543.38,0.0,-62.0299988,-62.0299988,-62.0299988,-62.0299988,0.0
2018-09-18,1545.5,1545.5,1545.5,1545.5,0.0,-42.4000015,-42.4000015,-42.4000015,-42.4000015,0.0
2018-09-19,1543.68994,1543.68994,1543.68994,1543.68994,0.0,-58.7599983,-58.7599983,-58.7599983,-58.7599983,0.0
2018-09-20,1552.19995,1552.19995,1552.19995,1552.19995,0.0,-3.58999991,-3.58999991,-3.58999991,-3.58999991,0.0
2018-09-21,1551.79004,1551.79004,1551.79004,1551.79004,0.0,-6.75,-6.75,-6.75,-6.75,0.0
2018-09-24,1543.48999,1543.48999,1543.48999,1543.48999,0.0,-63.2099991,-63.2099991,-63.2099991,-63.2099991,0.0
2018-09-25,1542.33997,1542.33997,1542.33997,1542.33997,0.0,-75.0199966,-75.0199966,-75.0199966,-75.0199966,0.0
2018-09-26,1536.17004,1536.17004,1536.17004,1536.17004,0.0,-107.199997,-107.199997,-107.199997,-107.199997,0.0
2018-09-27,1536.29004,1536.29004,1536.29004,1536.29004,0.0,-87.0800018,-87.0800018,-87.0800018,-87.0800018,0.0
2018-09-28,1538.53003,1538.53003,1538.53003,1538.53003,0.0,-64.1399994,-64.1399994,-64.1399994,-64.1399994,0.0
2018-10-01,1535.03003,1535.03003,1535.03003,1535.03003,0.0,-87.0,-87.0,-87.0,-87.0,0.0
2018-10-02,1531.59998,1531.59998,1531.59998,1531.59998,0.0,-108.57,-108.57,-108.57,-108.57,0.0
2018-10-03,1531.91003,1531.91003,1531.91003,1531.91003,0.0,-95.3000031,-95.3000031,-95.3000031,-95.3000031,0.0
2018-10-04,1519.81995,1519.81995,1519.81995,1519.81995,0.0,-174.179993,-174.179993,-174.179993,-174.179993,0.0
2018-10-05,1512.60999,1512.60999,1512.60999,1512.60999,0.0,-201.539993,-201.539993,-201.539993,-201.539993,0.0
2018-10-08,1513.27002,1513.27002,1513.27002,1513.27002,0.0,-168.779999,-168.779999,-168.779999,-168.779999,0.0
2018-10-09,1510.92004,1510.92004,1510.92004,1510.92004,0.0,-150.320007,-150.320007,-150.320007,-150.320007,0.0
2018-10-10,1495.06995,1495.06995,1495.06995,1495.06995,0.0,-245.029999,-245.029999,-245.029999,-245.029999,0.0
2018-10-11,1482.17004,1482.17004,1482.17004,1482.17004,0.0,-277.829987,-277.829987,-277.829987,-277.829987,0.0
2018-10-12,1484.78003,1484.78003,1484.78003,1484.78003,0.0,-249.279999,-249.279999,-249.279999,-249.279999,0.0
2018-10-15,1488.97998,1488.97998,1488.97998,1488.97998,0.0,-178.259995,-178.259995,-178.259995,-178.259995,0.0
2018-10-16,1503.94995,1503.94995,1503.94995,1503.94995,0.0,-39.0900002,-39.0900002,-39.0900002,-39.0900002,0.0
2018-10-17,1498.84998,1498.84998,1498.84998,1498.84998,0.0,-64.8300018,-64.8300018,-64.8300018,-64.8300018,0.0
2018-10-18,1486.58997,1486.58997,1486.58997,1486.58997,0.0,-129.460007,-129.460007,-129.460007,-129.460007,0.0
2018-10-19,1485.26001,1485.26001,1485.26001,1485.26001,0.0,-106.169998,-106.169998,-106.169998,-106.169998,0.0
2018-10-22,1480.95996,1480.95996,1480.95996,1480.95996,0.0,-108.18,-108.18,-108.18,-108.18,0.0
2018-10-23,1473.13,1473.13,1473.13,1473.13,0.0,-143.710007,-143.710007,-143.710007,-143.710007,0.0
2018-10-24,1461.70996,1461.70996,1461.70996,1461.70996,0.0,-197.550003,-197.550003,-197.550003,-197.550003,0.0
2018-10-25,1471.48999,1471.48999,1471.48999,1471.48999,0.0,-88.3000031,-88.3000031,-88.3000031,-88.3000031,0.0
2018-10-26,1462.18005,1462.18005,1462.18005,1462.18005,0.0,-132.710007,-132.710007,-132.710007,-132.710007,0.0
2018-10-29,1459.38,1459.38,1459.38,1459.38,0.0,-122.959999,-122.959999,-122.959999,-122.959999,0.0
2018-10-30,1468.92004,1468.92004,1468.92004,1468.92004,0.0,-32.5699997,-32.5699997,-32.5699997,-32.5699997,0.0
2018-10-31,1472.35999,1472.35999,1472.35999,1472.35999,0.0,16.0400009,16.0400009,16.0400009,16.0400009,0.0
2018-11-01,1483.34998,1483.34998,1483.34998,1483.34998,0.0,103.379997,103.379997,103.379997,103.379997,0.0
2018-11-02,1481.19995,1481.19995,1481.19995,1481.19995,0.0,78.9599991,78.9599991,78.9599991,78.9599991,0.0
2018-11-05,1486.62,1486.62,1486.62,1486.62,0.0,122.370003,122.370003,122.370003,122.370003,0.0
2018-11-06,1492.70996,1492.70996,1492.70996,1492.70996,0.0,153.039993,153.039993,153.039993,153.039993,0.0
2018-11-07,1504.78003,1504.78003,1504.78003,1504.78003,0.0,220.960007,220.960007,220.960007,220.960007,0.0
2018-11-08,1503.47998,1503.47998,1503.47998,1503.47998,0.0,185.779999,185.779999,185.779999,185.779999,0.0
2018-11-09,1495.57996,1495.57996,1495.57996,1495.57996,0.0,112.239998,112.239998,112.239998,112.239998,0.0
